ID,"Absolute URL","Relative Path",File,"Alt Text",Caption,Description,Title
10747,https://catalogus.co.mz/wp-content/uploads/2024/03/WhatsApp-Image-2024-03-20-at-12.02.06.jpeg,/2024/03/WhatsApp-Image-2024-03-20-at-12.02.06.jpeg,WhatsApp-Image-2024-03-20-at-12.02.06.jpeg,,,,"WhatsApp Image 2024-03-20 at 12.02.06"
10745,https://catalogus.co.mz/wp-content/uploads/2024/03/410963647_7145384908889633_7601105168555815365_n.jpg,/2024/03/410963647_7145384908889633_7601105168555815365_n.jpg,410963647_7145384908889633_7601105168555815365_n.jpg,,,,410963647_7145384908889633_7601105168555815365_n
10730,https://catalogus.co.mz/wp-content/uploads/2024/03/Foto-1-scaled.jpg,/2024/03/Foto-1-scaled.jpg,Foto-1-scaled.jpg,,,,"Foto (1)"
10721,https://catalogus.co.mz/wp-content/uploads/2024/03/300x.jpeg,/2024/03/300x.jpeg,300x.jpeg,,,,300x
10702,https://catalogus.co.mz/wp-content/uploads/2024/03/Premio-Literario-Carlos-Morgado_Comunicacao-02-2.png,/2024/03/Premio-Literario-Carlos-Morgado_Comunicacao-02-2.png,Premio-Literario-Carlos-Morgado_Comunicacao-02-2.png,,,,"Premio Literario Carlos Morgado_Comunicacao-02 (2)"
10696,https://catalogus.co.mz/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-29-at-10.21.39.jpeg,/2024/02/WhatsApp-Image-2024-02-29-at-10.21.39.jpeg,WhatsApp-Image-2024-02-29-at-10.21.39.jpeg,,,,"WhatsApp Image 2024-02-29 at 10.21.39"
10669,https://catalogus.co.mz/wp-content/uploads/2024/02/IMG-20240227-WA0003-1068x910-1.jpg,/2024/02/IMG-20240227-WA0003-1068x910-1.jpg,IMG-20240227-WA0003-1068x910-1.jpg,,,,IMG-20240227-WA0003-1068x910
10660,https://catalogus.co.mz/wp-content/uploads/2024/02/ConcoursGPS_1333x2000-400x600-1.png,/2024/02/ConcoursGPS_1333x2000-400x600-1.png,ConcoursGPS_1333x2000-400x600-1.png,,,,ConcoursGPS_1333x2000-400x600
10622,https://catalogus.co.mz/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-19-at-15.00.47-1.png,/2024/02/WhatsApp-Image-2024-02-19-at-15.00.47-1.png,WhatsApp-Image-2024-02-19-at-15.00.47-1.png,,,,WhatsApp-Image-2024-02-19-at-15.00.47-(1)
10617,https://catalogus.co.mz/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-19-at-11.58.37.jpeg,/2024/02/WhatsApp-Image-2024-02-19-at-11.58.37.jpeg,WhatsApp-Image-2024-02-19-at-11.58.37.jpeg,,,,"WhatsApp Image 2024-02-19 at 11.58.37"
10610,https://catalogus.co.mz/wp-content/uploads/2024/02/IMG-20240208-WA0026-scaled.jpeg,/2024/02/IMG-20240208-WA0026-scaled.jpeg,IMG-20240208-WA0026-scaled.jpeg,,,,IMG-20240208-WA0026
10604,https://catalogus.co.mz/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-14-at-12.26.25.jpeg,/2024/02/WhatsApp-Image-2024-02-14-at-12.26.25.jpeg,WhatsApp-Image-2024-02-14-at-12.26.25.jpeg,,,,"WhatsApp Image 2024-02-14 at 12.26.25"
10595,https://catalogus.co.mz/wp-content/uploads/2024/02/Mockups-Mocambiquero-te-GGE-Sara-Laisse-4.png,/2024/02/Mockups-Mocambiquero-te-GGE-Sara-Laisse-4.png,Mockups-Mocambiquero-te-GGE-Sara-Laisse-4.png,,,,"Mockups, Moçambiquero-te, GGE, Sara Laisse (4)"
10592,https://catalogus.co.mz/wp-content/uploads/2024/02/unnamed-1.jpg,/2024/02/unnamed-1.jpg,unnamed-1.jpg,,,,"unnamed (1)"
10587,https://catalogus.co.mz/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-09-at-12.50.27.jpeg,/2024/02/WhatsApp-Image-2024-02-09-at-12.50.27.jpeg,WhatsApp-Image-2024-02-09-at-12.50.27.jpeg,,,,"WhatsApp Image 2024-02-09 at 12.50.27"
10579,https://catalogus.co.mz/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-08-at-14.06.24.jpeg,/2024/02/WhatsApp-Image-2024-02-08-at-14.06.24.jpeg,WhatsApp-Image-2024-02-08-at-14.06.24.jpeg,,,,"WhatsApp Image 2024-02-08 at 14.06.24"
